date,season,league,home_team,away_team,home_goals,away_goals,result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home_win,odds_draw,odds_away_win
2008-08-16,2008-2009,EPL,Arsenal,West Brom,1,0,H,1.0,0.0,H,24.0,5.0,14.0,4.0,7.0,5.0,11.0,8.0,0.0,0.0,0.0,0.0,1.22,5.6,13.52
2008-08-16,2008-2009,EPL,Bolton,Stoke,3,1,H,3.0,0.0,H,14.0,8.0,8.0,2.0,4.0,3.0,13.0,12.0,1.0,2.0,0.0,0.0,1.81,3.35,4.54
2008-08-16,2008-2009,EPL,Everton,Blackburn,2,3,A,1.0,1.0,D,10.0,15.0,5.0,11.0,3.0,5.0,11.0,9.0,2.0,2.0,0.0,0.0,1.98,3.25,3.86
2008-08-16,2008-2009,EPL,Hull,Fulham,2,1,H,1.0,1.0,D,11.0,12.0,6.0,6.0,5.0,6.0,10.0,9.0,3.0,0.0,0.0,0.0,2.56,3.23,2.68
2008-08-16,2008-2009,EPL,Middlesbrough,Tottenham,2,1,H,0.0,0.0,D,14.0,8.0,10.0,5.0,7.0,9.0,11.0,12.0,1.0,2.0,0.0,0.0,3.19,3.31,2.2
2008-08-16,2008-2009,EPL,Sunderland,Liverpool,0,1,A,0.0,0.0,D,6.0,14.0,3.0,8.0,1.0,8.0,13.0,12.0,0.0,2.0,0.0,0.0,5.24,3.5,1.68
2008-08-16,2008-2009,EPL,West Ham,Wigan,2,1,H,2.0,0.0,H,15.0,22.0,8.0,9.0,6.0,10.0,14.0,11.0,2.0,1.0,0.0,0.0,1.94,3.27,3.98
2008-08-17,2008-2009,EPL,Aston Villa,Man City,4,2,H,0.0,0.0,D,14.0,13.0,10.0,8.0,7.0,8.0,8.0,11.0,0.0,1.0,0.0,0.0,1.84,3.32,4.36
2008-08-17,2008-2009,EPL,Chelsea,Portsmouth,4,0,H,3.0,0.0,H,18.0,12.0,11.0,8.0,8.0,3.0,10.0,6.0,0.0,1.0,0.0,0.0,1.32,4.69,10.05
2008-08-17,2008-2009,EPL,Man United,Newcastle,1,1,D,1.0,1.0,D,18.0,11.0,12.0,4.0,6.0,6.0,15.0,11.0,3.0,0.0,0.0,0.0,1.28,5.03,11.0
